entry_time,entry_price,direction,stop_loss,take_profit,size,exit_time,exit_price,pnl,pnl_pct,exit_reason
2025-02-26 08:06:30.134377,37124.685542788255,SHORT,42083.1697761543,27263.43196181322,0.04048654622076913,2025-03-05 08:06:30.134377,42104.21136104237,-201.60380219825845,-13.412977767892297,sl
2025-03-12 08:06:30.134377,48930.12791128013,SHORT,51136.25150129485,44591.3126390715,0.08982386054562204,2025-03-13 08:06:30.134377,51161.819627045494,-200.45916545772823,-4.560976664135967,sl
2025-03-27 08:06:30.134377,40331.971998942645,LONG,37900.37942908284,45134.68941452592,0.07960014145389317,2025-04-01 08:06:30.134377,37881.4292393683,-195.06355030093167,-6.075930925565926,sl
2025-04-05 08:06:30.134377,39922.81064927774,LONG,37607.072383952946,44494.432891097815,0.08190896654041536,2025-04-08 08:06:30.134377,44472.18567465227,372.6346067332038,11.39542770508027,tp
2025-04-14 08:06:30.134377,43726.78931281126,SHORT,45029.09815778584,41187.79461832905,0.15267533368165695,2025-04-20 08:06:30.134377,41208.38851563821,384.4976820525468,5.759400213807149,tp
2025-04-27 08:06:30.134377,46883.678177472066,LONG,44863.329321381236,50854.085517573556,0.10174326424913285,2025-05-03 08:06:30.134377,44840.89765672055,-207.83915832580306,-4.35712512362797,sl
2025-05-10 08:06:30.134377,45352.52603224184,LONG,43948.53913232964,48092.505040413715,0.14407364445435608,2025-05-21 08:06:30.134377,43926.56486276348,-205.443422537143,-3.144171437032242,sl
2025-05-23 08:06:30.134377,43635.66209698522,SHORT,44839.924875514625,41292.62277619003,0.1648287409820615,2025-05-26 08:06:30.134377,41313.269087578126,382.79711580611263,5.322236211851934,tp
2025-05-26 08:06:30.134377,41573.15289637573,SHORT,44839.924875514625,35101.99986290491,0.06239955609118721,2025-07-19 08:06:30.134377,44862.34483795238,-205.24411705309336,-7.9118173927659905,sl
2025-07-27 08:06:30.134377,47158.91706718918,SHORT,48295.36437026228,44956.796223524994,0.17831453790982094,2025-07-29 08:06:30.134377,48319.51205244741,-206.9509584967775,-2.4610297636917506,sl
2025-08-04 08:06:30.134377,49529.38881638323,SHORT,51369.012202103804,45924.47329379108,0.10705879260200339,2025-08-05 08:06:30.134377,51394.69670820485,-199.69761072941097,-3.7660628091671846,sl
2025-08-07 08:06:30.134377,49869.03223550658,LONG,49461.698313882654,50608.93391348382,0.49762396102130163,2025-08-08 08:06:30.134377,50583.629446527084,355.60069468279806,1.4329478214973523,tp
2025-08-19 08:06:30.134377,51422.20214331825,LONG,48916.94326979228,56355.62513453313,0.07961176989494761,2025-08-29 08:06:30.134377,56327.44732196587,390.51525044079517,9.53915813441101,tp
2025-08-29 08:06:30.134377,55404.77262733877,LONG,51960.34991218093,62210.5524315265,0.06005872682876454,2025-09-04 08:06:30.134377,62179.447155310736,406.87832682925784,12.227600993039891,tp
2025-09-04 08:06:30.134377,62803.03595765806,LONG,60335.95794095585,67643.0345158636,0.08758665567523688,2025-09-09 08:06:30.134377,67609.21299860568,420.9569735997083,7.652778194015903,tp
2025-09-09 08:06:30.134377,66067.93158982419,LONG,65917.72361889349,66269.29516048645,1.8921740876478406,2025-09-10 08:06:30.134377,66236.16051290621,318.31840904869426,0.25463022533602014,tp
2025-09-11 08:06:30.134377,68597.39816674446,LONG,67373.5210629511,70942.30769941855,0.19174992402245314,2025-09-12 08:06:30.134377,67339.83430241962,-241.13777543767034,-1.833253006576125,sl
