datetime,open,high,low,close,volume
2024-01-07 18:16:07.586613,40000.0,40366.418452595964,39990.97985518895,40162.55557482876,1112655.0153380847
2024-01-07 19:16:07.586613,40162.55557482876,40313.73410584174,39855.17661883132,40117.24077904402,1223749.0622986192
2024-01-07 20:16:07.586613,40117.24077904402,40655.18976043578,40007.524651494554,40329.95707553066,1583282.9187135117
2024-01-07 21:16:07.586613,40329.95707553066,41089.073541234444,40329.95707553066,40834.61122545675,1763681.3065587718
2024-01-07 22:16:07.586613,40834.61122545675,40905.65279863471,40609.174461098875,40756.61624552096,738863.5910148391
2024-01-07 23:16:07.586613,40756.61624552096,40966.094492108445,40476.60823119563,40678.77575693483,1770385.1271646929
2024-01-08 00:16:07.586613,40678.77575693483,41390.25809415998,40678.77575693483,41206.69341437859,1597323.023807849
2024-01-08 01:16:07.586613,41206.69341437859,41624.06441081332,41206.69341437859,41465.70891231397,552953.3817711045
2024-01-08 02:16:07.586613,41465.70891231397,41641.45309143107,41016.439169722,41307.065595202606,1442081.7967256377
2024-01-08 03:16:07.586613,41307.065595202606,41611.67638335788,41307.065595202606,41490.46177139933,852904.1567700603
2024-01-08 04:16:07.586613,41490.46177139933,41572.6781746979,41058.64797190302,41333.76790273431,807330.8430376631
2024-01-08 05:16:07.586613,41333.76790273431,41433.445835425104,41022.01717772092,41176.88853454767,1454667.5417731355
2024-01-08 06:16:07.586613,41176.88853454767,41485.261502992325,41024.11654277697,41258.31937570409,1253356.9605323423
2024-01-08 07:16:07.586613,41258.31937570409,41258.31937570409,40503.08449770717,40618.796509065105,761251.5213816819
2024-01-08 08:16:07.586613,40618.796509065105,40618.796509065105,39817.073526763714,40050.73619936157,1926705.5696626797
2024-01-08 09:16:07.586613,40050.73619936157,40081.9224478702,39512.54364494156,39867.2833483642,1817667.3694266193
2024-01-08 10:16:07.586613,39867.2833483642,39867.2833483642,39376.2114947048,39538.95213208138,1484263.4464496253
2024-01-08 11:16:07.586613,39538.95213208138,39738.37790447138,39531.37510530473,39640.533275797396,1160173.8613651604
2024-01-08 12:16:07.586613,39640.533275797396,39640.533275797396,39239.42822249506,39347.72686605281,1876197.8383322058
2024-01-08 13:16:07.586613,39347.72686605281,39347.72686605281,38583.06412200784,38896.599316975684,660499.9572253989
2024-01-08 14:16:07.586613,38896.599316975684,39499.9754887331,38896.599316975684,39364.871421225136,999557.63509801
2024-01-08 15:16:07.586613,39364.871421225136,39540.48214525856,39024.57082478655,39292.37221203999,1633321.58876204
2024-01-08 16:16:07.586613,39292.37221203999,39536.55401501329,39070.37286309732,39314.0440522095,641245.7132792447
2024-01-08 17:16:07.586613,39314.0440522095,39314.0440522095,38673.680462115255,38859.35428210545,1879853.1884898462
2024-01-08 18:16:07.586613,38859.35428210545,38919.250632785435,38456.232559807875,38687.01445973378,1723627.3811856725
2024-01-08 19:16:07.586613,38687.01445973378,38804.881249963,38597.52438600651,38722.069930391386,1848486.5840781408
2024-01-08 20:16:07.586613,38722.069930391386,38722.069930391386,38219.98433195265,38359.872992309036,1952616.183036727
2024-01-08 21:16:07.586613,38359.872992309036,38580.64783375571,38334.205784542966,38477.72661967054,864266.4545006715
2024-01-08 22:16:07.586613,38477.72661967054,38477.72661967054,38105.1918095883,38289.48807657923,1257315.2021533994
2024-01-08 23:16:07.586613,38289.48807657923,38340.97439071609,38015.253852928894,38198.405484759205,1117491.6577549796
